Komoditas,Tahun,Nilai_Ekspor_Juta_USD,Bulan,Tanggal
Tembakau,2025,9.5,3,2025-03-01
Tembakau,2025,2.7,4,2025-04-01
Tembakau,2025,2.6,5,2025-05-01
Tembakau,2025,5.7,6,2025-06-01
Tembakau,2025,14.4,7,2025-07-01
Tembakau,2025,10.8,8,2025-08-01
Tembakau,2025,6.8,9,2025-09-01
Tembakau,2025,6.4,10,2025-10-01
Tembakau,2025,7.4,11,2025-11-01
Tembakau,2025,5.7,12,2025-12-01
Tembakau,2026,2.1,1,2026-01-01
Tembakau,2026,4.3,2,2026-02-01
Tembakau,2026,,3,2026-03-01
Tembakau,2026,,4,2026-04-01
Tembakau,2026,,5,2026-05-01
Tembakau,2026,,6,2026-06-01
Tembakau,2026,,7,2026-07-01
Tembakau,2026,,8,2026-08-01
Tembakau,2026,,9,2026-09-01
Tembakau,2026,,10,2026-10-01
Tembakau,2026,,11,2026-11-01
Tembakau,2026,,12,2026-12-01
