Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Nilai Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Juta US$),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,2.6,2.2,4.2,6.9,11.6,13.2,14.7,28,25.2,12.9,7.7,4.8,134
Tembakau,3.7,4.3,6.4,2.5,8.6,7.7,9.5,8,10.7,10.3,10.8,4.3,86.7
Jagung,12.7,9.8,2,4.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,29.3
Kopi,69.8,58,50.2,53.9,97.2,95.5,91.2,95.3,77.1,90.3,76.3,61.8,916.6
"Tanaman Obat, Aromatik, dan Rempah-Rempah",37.4,41.5,47.7,32.7,46.5,41.1,34.9,37.9,40.6,39.5,33.2,32.2,465.1
Lada Hitam,2.3,2.5,2.6,2.3,4,3.7,2.9,4.3,3.2,2.8,1.7,3.7,36.1
Lada Putih,6.1,5,7,4.4,6.7,4.7,6.8,5.9,5.3,4.1,4.5,3.4,64
Biji Kakao,4.7,4,3.1,3.1,7.1,5,2.8,0.4,4.7,0.1,7.9,4,46.9
Buah-buahan Tahunan,28.5,29.8,24.5,13.1,16.3,21.6,25.6,20,30.3,33.3,46.4,44,333.4
Sarang Burung,46.2,60,61.1,49.9,44.6,47.7,44.9,53.8,60.7,58.1,53.6,52.8,633.2
Hasil Hutan Bukan Kayu Lainnya,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,3
Ikan Segar/Dingin Hasil Tangkapan,8.2,7.6,10,7.2,9.6,8.1,8.8,8.3,8,9.5,10.3,11.1,106.7
Rumput Laut dan Ganggang Lainnya,32.1,19.9,39.4,25.6,29,16.6,24.2,25.5,21.9,17.7,19.1,13.8,284.8
Lainnya,118.9,92.4,118.9,86.4,108.6,93.4,110.6,101.7,117.1,93.7,100,118.9,1260.9
Jumlah,373.5,337.3,377.4,292.3,390.2,358.5,377.2,389.5,405.2,372.6,371.8,355.2,4400.7
