Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Nilai Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Juta US$),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,3.4,2.4,2.8,3.2,21.9,30.7,34.4,29.4,33.1,27.4,12.2,16.2,217.2
Tembakau,2.6,4.9,6.8,7,13.6,12.1,11.9,15,7.2,7.5,8.7,6.9,104.2
Jagung,0,0,0.1,0.1,0.1,0.1,11.5,4.1,0.2,0.1,0.3,0.1,16.5
Kopi,58.6,72.9,86.1,61.8,88.7,101.7,158.8,196.4,199.3,256.1,168.1,175.8,1624.1
"Tanaman Obat, Aromatik, dan Rempah-Rempah",30.5,30.7,32.7,27.1,37.3,36.6,40.8,38.6,34.8,40.1,39.3,37.2,425.8
Lada Hitam,3.5,3.7,6,4,5.6,4.7,8,16,35.2,39.1,20.8,12,158.6
Lada Putih,6.8,4.2,9.2,6.5,10.4,10.2,10.8,8,10.6,13.3,17.8,15.3,123.1
Biji Kakao,6.7,7.5,4.6,6.8,0,14.4,7,6.3,7.5,4.7,4.8,10.3,80.6
Buah-buahan Tahunan,44.4,57.2,73.6,29.5,28.5,17.4,25.1,29,45.5,68.1,83.4,78.9,580.7
Sarang Burung,65,33.3,55.1,36.8,48.9,43.8,43.3,45.6,39.8,46.2,47,46.7,551.6
Hasil Hutan Bukan Kayu Lainnya,0.2,0.3,0.4,0.1,0.3,0.2,0.2,0.3,0.2,0.3,0.4,0.2,3.2
Ikan Segar/Dingin Hasil Tangkapan,12.3,8.5,10.3,8.3,10.5,10,9.5,9.7,10.3,10.4,12,10.3,122.2
Rumput Laut dan Ganggang Lainnya,15.7,16.6,17.1,13.3,16.5,12.4,17.1,19.7,17,17.6,14.9,14.8,192.8
Lainnya,124.5,126.7,125.2,94.2,115.5,98.1,119.7,125.5,121.4,133,149.3,154.8,1487.6
Jumlah,374.2,368.9,430,298.7,397.8,392.4,498.1,543.6,562.1,663.9,579,579.5,5688.2
