Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Nilai Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Juta US$),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,4.6,2.7,-,-,-,-,-,-,-,-,-,-,7.3
Tembakau,2.1,4.3,-,-,-,-,-,-,-,-,-,-,6.4
Jagung,0.2,0.1,-,-,-,-,-,-,-,-,-,-,0.3
Kopi,120,109.6,-,-,-,-,-,-,-,-,-,-,229.6
"Tanaman Obat, Aromatik, dan Rempah-Rempah",38.3,41.9,-,-,-,-,-,-,-,-,-,-,80.2
Lada Hitam,9.2,5.6,-,-,-,-,-,-,-,-,-,-,14.8
Lada Putih,13.6,12.1,-,-,-,-,-,-,-,-,-,-,25.7
Biji Kakao,2.2,5.7,-,-,-,-,-,-,-,-,-,-,7.9
Buah-buahan Tahunan,45.5,38.4,-,-,-,-,-,-,-,-,-,-,83.9
Sarang Burung,55.8,27.3,-,-,-,-,-,-,-,-,-,-,83.1
Hasil Hutan Bukan Kayu Lainnya,0.2,0.2,-,-,-,-,-,-,-,-,-,-,0.4
Ikan Segar/Dingin Hasil Tangkapan,12.8,11.9,-,-,-,-,-,-,-,-,-,-,24.7
Rumput Laut dan Ganggang Lainnya,11.4,10.3,-,-,-,-,-,-,-,-,-,-,21.7
Lainnya,120,116.8,-,-,-,-,-,-,-,-,-,-,236.8
Jumlah,435.9,386.9,-,-,-,-,-,-,-,-,-,-,822.8
